ti              Di              dD/dt           ti+1            Di+1           
0,0000          0,0000          3,0000          0,1000          ,3000          
0,1000          0,3000          3,1000          0,2000          ,4100          
0,2000          0,4100          3,2000          0,3000          ,5200          
0,3000          0,5200          3,3000          0,4000          ,6300          
0,4000          0,6300          3,4000          0,5000          ,7400          
0,5000          0,7400          3,5000          0,6000          ,8500          
0,6000          0,8500          3,6000          0,7000          ,9600          
0,7000          0,9600          3,7000          0,8000          1,0700         
0,8000          1,0700          3,8000          0,9000          1,1800         
0,9000          1,1800          3,9000          1,0000          1,2900         
1,0000          1,2900          4,0000          1,1000          1,4000         
1,1000          1,4000          4,1000          1,2000          1,5100         
1,2000          1,5100          4,2000          1,3000          1,6200         
1,3000          1,6200          4,3000          1,4000          1,7300         
1,4000          1,7300          4,4000          1,5000          1,8400         
1,5000          1,8400          4,5000          1,6000          1,9500         
1,6000          1,9500          4,6000          1,7000          2,0600         
1,7000          2,0600          4,7000          1,8000          2,1700         
1,8000          2,1700          4,8000          1,9000          2,2800         
1,9000          2,2800          4,9000          2,0000          2,3900         
2,0000          2,3900          5,0000          2,1000          2,5000         
2,1000          2,5000          5,1000          2,2000          2,6100         
2,2000          2,6100          5,2000          2,3000          2,7200         
2,3000          2,7200          5,3000          2,4000          2,8300         
2,4000          2,8300          5,4000          2,5000          2,9400         
2,5000          2,9400          5,5000          2,6000          3,0500         
2,6000          3,0500          5,6000          2,7000          3,1600         
2,7000          3,1600          5,7000          2,8000          3,2700         
2,8000          3,2700          5,8000          2,9000          3,3800         
2,9000          3,3800          5,9000          3,0000          3,4900         
3,0000          3,4900          6,0000          3,1000          3,6000         
3,1000          3,6000          6,1000          3,2000          3,7100         
3,2000          3,7100          6,2000          3,3000          3,8200         
3,3000          3,8200          6,3000          3,4000          3,9300         
3,4000          3,9300          6,4000          3,5000          4,0400         
3,5000          4,0400          6,5000          3,6000          4,1500         
3,6000          4,1500          6,6000          3,7000          4,2600         
3,7000          4,2600          6,7000          3,8000          4,3700         
3,8000          4,3700          6,8000          3,9000          4,4800         
3,9000          4,4800          6,9000          4,0000          4,5900         
4,0000          4,5900          7,0000          4,1000          4,7000         
4,1000          4,7000          7,1000          4,2000          4,8100         
4,2000          4,8100          7,2000          4,3000          4,9200         
4,3000          4,9200          7,3000          4,4000          5,0300         
4,4000          5,0300          7,4000          4,5000          5,1400         
4,5000          5,1400          7,5000          4,6000          5,2500         
4,6000          5,2500          7,6000          4,7000          5,3600         
4,7000          5,3600          7,7000          4,8000          5,4700         
4,8000          5,4700          7,8000          4,9000          5,5800         
4,9000          5,5800          7,9000          5,0000          5,6900         
5,0000          5,6900          8,0000          5,1000          5,8000         
5,1000          5,8000          8,1000          5,2000          5,9100         
5,2000          5,9100          8,2000          5,3000          6,0200         
5,3000          6,0200          8,3000          5,4000          6,1300         
5,4000          6,1300          8,4000          5,5000          6,2400         
5,5000          6,2400          8,5000          5,6000          6,3500         
5,6000          6,3500          8,6000          5,7000          6,4600         
5,7000          6,4600          8,7000          5,8000          6,5700         
5,8000          6,5700          8,8000          5,9000          6,6800         
5,9000          6,6800          8,9000          6,0000          6,7900         
6,0000          6,7900          9,0000          6,1000          6,9000         
6,1000          6,9000          9,1000          6,2000          7,0100         
6,2000          7,0100          9,2000          6,3000          7,1200         
6,3000          7,1200          9,3000          6,4000          7,2300         
6,4000          7,2300          9,4000          6,5000          7,3400         
6,5000          7,3400          9,5000          6,6000          7,4500         
6,6000          7,4500          9,6000          6,7000          7,5600         
6,7000          7,5600          9,7000          6,8000          7,6700         
6,8000          7,6700          9,8000          6,9000          7,7800         
6,9000          7,7800          9,9000          7,0000          7,8900         
7,0000          7,8900          10,0000         7,1000          8,0000         
7,1000          8,0000          10,1000         7,2000          8,1100         
7,2000          8,1100          10,2000         7,3000          8,2200         
7,3000          8,2200          10,3000         7,4000          8,3300         
7,4000          8,3300          10,4000         7,5000          8,4400         
7,5000          8,4400          10,5000         7,6000          8,5500         
7,6000          8,5500          10,6000         7,7000          8,6600         
7,7000          8,6600          10,7000         7,8000          8,7700         
7,8000          8,7700          10,8000         7,9000          8,8800         
7,9000          8,8800          10,9000         8,0000          8,9900         
8,0000          8,9900          11,0000         8,1000          9,1000         
8,1000          9,1000          11,1000         8,2000          9,2100         
8,2000          9,2100          11,2000         8,3000          9,3200         
8,3000          9,3200          11,3000         8,4000          9,4300         
8,4000          9,4300          11,4000         8,5000          9,5400         
8,5000          9,5400          11,5000         8,6000          9,6500         
8,6000          9,6500          11,6000         8,7000          9,7600         
8,7000          9,7600          11,7000         8,8000          9,8700         
8,8000          9,8700          11,8000         8,9000          9,9800         
8,9000          9,9800          11,9000         9,0000          10,0900        
9,0000          10,0900         12,0000         9,1000          10,2000        
9,1000          10,2000         12,1000         9,2000          10,3100        
9,2000          10,3100         12,2000         9,3000          10,4200        
9,3000          10,4200         12,3000         9,4000          10,5300        
9,4000          10,5300         12,4000         9,5000          10,6400        
9,5000          10,6400         12,5000         9,6000          10,7500        
9,6000          10,7500         12,6000         9,7000          10,8600        
9,7000          10,8600         12,7000         9,8000          10,9700        
9,8000          10,9700         12,8000         9,9000          11,0800        
9,9000          11,0800         12,9000         10,0000         11,1900        
10,0000         11,1900         13,0000         10,1000         11,3000        
10,1000         11,3000         13,1000         10,2000         11,4100        
10,2000         11,4100         13,2000         10,3000         11,5200        
10,3000         11,5200         13,3000         10,4000         11,6300        
10,4000         11,6300         13,4000         10,5000         11,7400        
10,5000         11,7400         13,5000         10,6000         11,8500        
10,6000         11,8500         13,6000         10,7000         11,9600        
10,7000         11,9600         13,7000         10,8000         12,0700        
10,8000         12,0700         13,8000         10,9000         12,1800        
10,9000         12,1800         13,9000         11,0000         12,2900        
11,0000         12,2900         14,0000         11,1000         12,4000        
11,1000         12,4000         14,1000         11,2000         12,5100        
11,2000         12,5100         14,2000         11,3000         12,6200        
11,3000         12,6200         14,3000         11,4000         12,7300        
11,4000         12,7300         14,4000         11,5000         12,8400        
11,5000         12,8400         14,5000         11,6000         12,9500        
11,6000         12,9500         14,6000         11,7000         13,0600        
11,7000         13,0600         14,7000         11,8000         13,1700        
11,8000         13,1700         14,8000         11,9000         13,2800        
11,9000         13,2800         14,9000         12,0000         13,3900        
12,0000         13,3900         15,0000         12,1000         13,5000        
12,1000         13,5000         15,1000         12,2000         13,6100        
12,2000         13,6100         15,2000         12,3000         13,7200        
12,3000         13,7200         15,3000         12,4000         13,8300        
12,4000         13,8300         15,4000         12,5000         13,9400        
12,5000         13,9400         15,5000         12,6000         14,0500        
12,6000         14,0500         15,6000         12,7000         14,1600        
12,7000         14,1600         15,7000         12,8000         14,2700        
12,8000         14,2700         15,8000         12,9000         14,3800        
12,9000         14,3800         15,9000         13,0000         14,4900        
13,0000         14,4900         16,0000         13,1000         14,6000        
13,1000         14,6000         16,1000         13,2000         14,7100        
13,2000         14,7100         16,2000         13,3000         14,8200        
13,3000         14,8200         16,3000         13,4000         14,9300        
13,4000         14,9300         16,4000         13,5000         15,0400        
13,5000         15,0400         16,5000         13,6000         15,1500        
13,6000         15,1500         16,6000         13,7000         15,2600        
13,7000         15,2600         16,7000         13,8000         15,3700        
13,8000         15,3700         16,8000         13,9000         15,4800        
13,9000         15,4800         16,9000         14,0000         15,5900        
14,0000         15,5900         17,0000         14,1000         15,7000        
14,1000         15,7000         17,1000         14,2000         15,8100        
14,2000         15,8100         17,2000         14,3000         15,9200        
14,3000         15,9200         17,3000         14,4000         16,0300        
14,4000         16,0300         17,4000         14,5000         16,1400        
14,5000         16,1400         17,5000         14,6000         16,2500        
14,6000         16,2500         17,6000         14,7000         16,3600        
14,7000         16,3600         17,7000         14,8000         16,4700        
14,8000         16,4700         17,8000         14,9000         16,5800        
14,9000         16,5800         17,9000         15,0000         16,6900        
15,0000         16,6900         18,0000         15,1000         16,8000        
15,1000         16,8000         18,1000         15,2000         16,9100        
15,2000         16,9100         18,2000         15,3000         17,0200        
15,3000         17,0200         18,3000         15,4000         17,1300        
15,4000         17,1300         18,4000         15,5000         17,2400        
15,5000         17,2400         18,5000         15,6000         17,3500        
15,6000         17,3500         18,6000         15,7000         17,4600        
15,7000         17,4600         18,7000         15,8000         17,5700        
15,8000         17,5700         18,8000         15,9000         17,6800        
15,9000         17,6800         18,9000         16,0000         17,7900        
16,0000         17,7900         19,0000         16,1000         17,9000        
16,1000         17,9000         19,1000         16,2000         18,0100        
16,2000         18,0100         19,2000         16,3000         18,1200        
16,3000         18,1200         19,3000         16,4000         18,2300        
16,4000         18,2300         19,4000         16,5000         18,3400        
16,5000         18,3400         19,5000         16,6000         18,4500        
16,6000         18,4500         19,6000         16,7000         18,5600        
16,7000         18,5600         19,7000         16,8000         18,6700        
16,8000         18,6700         19,8000         16,9000         18,7800        
16,9000         18,7800         19,9000         17,0000         18,8900        
17,0000         18,8900         20,0000         17,1000         19,0000        
17,1000         19,0000         20,1000         17,2000         19,1100        
17,2000         19,1100         20,2000         17,3000         19,2200        
17,3000         19,2200         20,3000         17,4000         19,3300        
